Number,Name,HP,Attack,Defense,Special Atk,Special Def,Speed
73,"Tranquil",6,8,6,5,4,7
74,"Unfezant",8,11,8,7,6,9
75,"Nidoran Female",6,5,5,4,4,4
76,"Nidorina",7,6,7,6,6,6
77,"Nidoqueen",9,8,9,8,9,8
78,"Nidoran Male",5,6,4,4,4,5
79,"Nidorino",6,7,6,6,6,7
80,"Nidoking",8,9,8,9,8,9
81,"Zubat",4,5,4,3,4,6
82,"Golbat",8,8,7,7,8,9
83,"Crobat",9,9,8,7,8,13
84,"Cleffa",5,3,3,5,6,2
85,"Clefairy",7,5,5,6,7,4
86,"Clefable",10,7,7,9,9,6
87,"Igglybuff",9,3,2,4,2,2
88,"Jigglypuff",12,5,2,5,3,2
89,"Wigglytuff",14,7,5,8,5,5
90,"Happiny",10,1,1,2,7,3
91,"Chansey",25,1,1,4,11,5
92,"Blissey",26,1,1,8,14,6
93,"Whismur",6,5,2,5,2,3
94,"Loudred",8,7,4,7,4,5
95,"Exploud",10,9,6,9,6,7
96,"Lillipup",5,6,5,3,5,6
97,"Herdier",7,8,7,4,7,6
98,"Stoutland",8,9,20,6,7,3
99,"Porygon",7,6,7,9,8,4
100,"Porygon2",9,8,9,11,10,6
101,"Porygon-Z",9,8,7,14,8,9
102,"Slakoth",15,16,10,10,7,10
103,"Vigoroth",8,8,8,6,6,9
104,"Slaking",10,9,7,7,6,8
105,"Oddish",5,5,6,8,7,3
106,"Gloom",6,7,7,9,8,4
107,"Vileplume",8,8,9,10,9,5
108,"Bellossom",8,8,9,9,10,5
109,"Bellsprout",5,8,4,7,3,4
110,"Weepinbell",7,9,5,9,5,6
111,"Victreebel",8,11,7,10,6,7
112,"Hoppip",4,4,4,4,6,5
113,"Skiploom",6,5,5,5,7,5
114,"Jumpluff",8,6,7,6,9,11
115,"Lotad",4,3,3,4,5,3
116,"Lombre",6,5,5,6,7,5
117,"Ludicolo",8,7,7,9,10,7
118,"Seedot",4,4,5,3,3,3
119,"Nuzleaf",7,7,4,6,4,6
120,"Shiftry",9,10,6,9,6,8
121,"Budew",4,3,4,5,7,6
122,"Roselia",5,6,5,10,8,7
123,"Roserade",6,7,6,13,11,9
124,"Pichu",2,4,2,4,4,6
125,"Pikachu",4,6,3,5,4,9
126,"Raichu",6,9,6,9,8,10
127,"Magnemite",3,4,7,10,6,5
128,"Magneton",5,6,10,12,7,7
129,"Magnezone",7,7,12,13,9,6
130,"Mareep",7,2,5,2,5,4
131,"Flaafy",7,6,6,8,6,5
132,"Ampharos",9,8,8,12,9,6
133,"Shinx",5,7,3,4,3,5
134,"Luxio",6,9,5,6,5,6
135,"Luxray",8,12,8,10,8,7
136,"Tynamo",4,6,4,5,4,6
137,"Eelectrik",7,9,7,8,7,4
138,"Eelectross",9,12,8,11,8,5
139,"Elekid",5,8,4,7,6,8
140,"Electabuzz",7,8,6,10,9,11
141,"Electivire",8,12,7,10,9,10
142,"Magby",5,8,4,7,6,8
143,"Magmar",7,10,6,10,9,10
144,"Magmortar",8,10,7,13,10,8
145,"Poliwag",4,5,4,4,4,9
146,"Poliwhirl",7,7,7,5,5,9
147,"Poliwrath",9,9,10,7,9,7
148,"Politoed",9,8,8,9,10,7
149,"Azurill",5,2,4,2,4,2
150,"Marill",6,8,11,5,8,5
151,"Azumarill",10,5,8,5,8,5
152,"Tympole",5,5,4,5,4,6
153,"Palpitoad",8,7,6,7,6,7
154,"Seismitoad",11,9,8,9,8,7
155,"Horsea",3,4,7,7,3,6
156,"Seadra",6,7,10,10,5,9
157,"Kingdra",8,10,10,10,10,9
158,"Spheal",4,6,3,3,3,7
159,"Sealeo",9,6,7,8,7,5
160,"Walrein",11,8,9,10,9,7
161,"Vanillite",4,5,5,7,6,5
162,"Vanillish",5,7,7,8,8,6
163,"Vanilluxe",7,10,9,11,10,8
164,"Ralts",3,3,3,5,4,4
165,"Kirlia",4,4,4,7,6,5
166,"Gardevoir",7,7,7,13,12,8
167,"Gallade",7,13,7,7,12,8
168,"Abra",3,2,2,11,6,9
169,"Kadabra",4,4,3,12,7,11
170,"Alakazam",6,5,5,14,9,12
171,"Gothita",5,3,5,6,7,5
172,"Gothorita",6,5,7,8,9,6
173,"Gothitelle",7,6,10,10,11,7
174,"Solosis",6,8,5,4,4,3
175,"Duosion",7,4,5,13,6,3
176,"Reuniclus",11,7,8,13,9,3
177,"Machop",7,8,5,4,4,4
178,"Machoke",8,10,7,5,6,5
179,"Machamp",9,13,8,7,9,6
180,"Timburr",8,8,6,3,4,4
181,"Gurdurr",9,11,9,4,5,4
182,"Conkeldurr",11,14,10,6,7,5
183,"Geodude",4,8,10,3,3,2
184,"Graveler",6,10,12,5,5,4
185,"Golem",8,11,13,6,7,5
186,"Roggenrola",6,8,9,3,3,2
187,"Boldore",7,11,11,5,4,2
188,"Gigalith",9,14,13,6,7,3
189,"Rhyhorn",8,9,10,3,3,3
190,"Rhydon",11,13,12,5,5,4
191,"Rhyperior",12,14,13,6,6,4
192,"Swinub",5,5,4,3,3,5
193,"Piloswine",10,10,8,6,6,5
194,"Mamoswine",11,13,8,7,6,8
195,"Sandile",5,7,4,4,4,7
196,"Krokorok",6,8,5,5,5,7
197,"Krookodile",10,12,7,7,7,9
198,"Aron",5,7,10,4,4,3
199,"Lairon",6,9,14,5,5,4
200,"Aggron",7,11,18,6,6,5
201,"Klink",4,6,7,5,6,3
202,"Klank",6,8,10,7,9,5
203,"Klinklank",6,10,12,7,9,9
204,"Gastly",3,4,3,10,4,8
205,"Haunter",5,5,5,12,6,10
206,"Gengar",6,7,6,13,8,11
207,"Duskull",2,4,9,3,9,3
208,"Dusclops",4,7,13,6,13,3
209,"Dusknoir",5,10,14,7,14,5
210,"Litwick",5,3,6,7,6,2
211,"Lampent",6,4,6,10,6,6
212,"Chandelure",6,6,9,15,9,8
213,"Trapinch",5,10,5,5,5,1
214,"Vibrava",5,7,5,5,5,7
215,"Flygon",8,10,8,8,8,10
216,"Axew",5,9,6,3,4,6
217,"Fraxure",7,12,7,4,5,7
218,"Haxorus",8,15,9,6,7,10
219,"Rattata",3,6,4,3,4,7
220,"Raticate",6,8,6,5,7,10
221,"Sentret",4,5,3,4,5,2
222,"Furret",9,8,6,5,6,9
223,"Zigzagoon",4,3,4,3,4,6
224,"Linoone",8,7,6,5,6,10
225,"Bidoof",6,5,4,4,4,3
226,"Bibarel",8,9,6,6,6,7
227,"Patrat",5,6,4,4,4,4
228,"Watchog",6,9,7,6,7,8
229,"Meowth",4,5,4,4,4,9
230,"Persian",7,7,6,7,7,12
231,"Skitty",5,5,5,4,4,5
232,"Delcatty",7,7,7,6,6,7
233,"Glameow",5,6,4,4,4,9
234,"Purugly",7,8,6,6,6,11
235,"Minccino",6,5,4,4,4,8
236,"Cinccino",8,10,6,7,6,12
237,"Buneary",6,7,4,4,6,9
238,"Lopunny",7,8,8,5,10,11
239,"Snubbull",6,6,5,6,6,4
240,"Granbull",9,12,8,6,6,5
241,"Aipom",6,7,6,4,6,9
242,"Ambipom",8,10,7,6,7,12
243,"Deerling",6,6,5,4,5,8
244,"Sawsbuck",8,10,7,6,7,10
245,"Teddiursa",6,8,5,5,5,4
246,"Ursaring",9,13,8,8,8,6
247,"Lickitung",9,6,8,6,8,3
248,"Lickilicky",11,9,10,8,10,5
249,"Munchlax",14,9,4,4,9,1
250,"Snorlax",5,5,6,5,6,6
251,"Burmy",4,3,5,3,5,4
252,"Wormadam - Ground",6,6,9,8,11,4
253,"Wormadam - Sand",7,8,11,6,9,4
254,"Wormadam - Trash",6,7,10,7,10,4
255,"Mothim",7,9,5,9,5,7
256,"Nincada",3,5,9,3,3,4
257,"Ninjask",6,9,5,5,5,16
258,"Shedinja",0,9,5,3,3,4
259,"Paras",4,7,6,5,6,3
260,"Parasect",6,10,8,6,8,3
261,"Venonat",6,6,5,4,6,5
262,"Venomoth",7,7,6,9,8,9
263,"Ledyba",4,2,3,4,8,6
264,"Ledian",6,4,5,6,11,9
265,"Spinarak",7,4,5,6,5,3
266,"Ariados",7,9,7,6,6,4
267,"Yanma",7,7,5,8,5,10
268,"Yanmega",9,8,9,12,6,10
269,"Pineco",5,7,9,4,4,2
270,"Forretress",8,9,14,6,6,4
271,"Surskit",4,3,3,5,5,7
272,"Maquerain",8,9,7,11,8,6
273,"Kricketot",4,3,4,3,4,3
274,"Kricketune",8,9,5,6,5,7
275,"Combee",3,3,4,3,4,7
276,"Vespiqueen",7,8,10,8,10,4
277,"Dwebble",5,7,9,4,4,6
278,"Crustle",7,10,13,7,8,5
279,"Karrablast",5,8,5,4,5,6
280,"Escavalier",7,14,11,6,11,2
281,"Shelmet",5,4,9,4,7,3
282,"Accelgor",8,7,4,10,6,15
283,"Joltik",5,5,5,6,5,7
284,"Galvantula",7,8,6,10,6,11
285,"Scyther",7,11,8,6,8,11
286,"Scizor",7,13,10,6,8,7
287,"Larvesta",6,9,6,5,6,6
288,"Volcarona",9,6,7,14,11,10
289,"Spearow",7,10,9,6,7,7
290,"Fearow",7,9,7,6,6,10
291,"Doduo",4,9,5,4,4,8
292,"Dodrio",6,11,7,6,6,10
293,"Hoothoot",6,3,3,4,6,5
294,"Noctowl",10,5,5,8,10,7
295,"Taillow",4,6,3,3,3,9
296,"Swellow",6,9,6,5,5,13
297,"Rufflet",7,8,5,4,5,6
298,"Braviary",10,12,8,6,8,8
299,"Swablu",5,4,6,4,8,5
300,"Altaria",8,7,9,7,11,8
301,"Ekans",4,6,4,4,5,6
302,"Arbok",6,9,7,7,8,8
303,"Stunky",11,7,8,8,10,3
304,"Stuntank",6,6,5,4,4,7
305,"Grimer",8,8,5,4,5,3
306,"Muk",11,11,8,7,10,5
307,"Koffing",4,7,10,6,5,4
308,"Weezing",7,9,12,9,7,6
309,"Gulpin",7,4,5,4,5,4
310,"Swalot",10,7,8,7,8,6
311,"Trubbish",5,5,6,4,6,7
312,"Garbador",8,10,8,6,8,8
313,"Skorupi",4,5,9,3,6,7
314,"Drapion",7,9,11,6,8,10
315,"Croagunk",5,6,4,6,4,5
316,"Toxicroak",8,11,7,9,7,9
317,"Sandshrew",5,8,9,2,3,4
318,"Sandslash",8,10,11,5,6,7
319,"Diglett",1,6,3,4,5,10
320,"Dugtrio",4,8,5,5,7,12
321,"Cubone",5,5,10,4,5,4
322,"Marowak",7,9,7,6,7,5
323,"Gligar",7,8,11,4,7,9
324,"Gliscor",8,10,13,5,8,10
325,"Phanpy",9,6,6,4,4,4
326,"Donphan",9,12,12,6,6,5
327,"Baltoy",4,4,6,4,7,6
328,"Claydol",6,7,11,7,12,8
329,"Hippopotas",7,7,8,4,4,3
330,"Hippowdon",10,11,12,7,7,5
331,"Drilbur",6,9,4,3,5,7
332,"Excadrill",11,14,6,5,7,9
333,"Golett",6,7,6,4,5,4
334,"Golurk",9,12,8,6,8,6
335,"Bonsly",5,8,10,1,5,1
336,"Sudowoodo",7,10,12,3,7,3
337,"Nosepass",3,5,14,5,9,3
338,"Probopass",6,6,15,8,15,4
339,"Onix",4,5,16,3,5,7
340,"Steelix",3,5,6,7,6,9
341,"Bronzor",6,2,9,2,9,2
342,"Bronzong",7,9,12,8,12,3
343,"Sunkern",3,3,3,3,3,3
344,"Sunflora",8,8,6,11,9,3
345,"Tangela",7,6,12,10,4,6
346,"Tangrowth",10,10,13,11,5,5
347,"Cherubi",5,4,5,6,5,4
348,"Cherrim",7,6,7,9,8,9
349,"Cottonee",4,3,6,4,5,7
350,"Whimsicott",6,7,9,8,8,12
351,"Petilil",5,4,5,7,5,3
352,"Lilligant",7,6,8,11,8,9
353,"Foongus",7,6,5,6,6,2
354,"Amoongus",11,9,7,9,8,3
355,"Shroomish",6,4,6,4,6,4
356,"Breloom",6,13,8,6,6,7
357,"Ferroseed",4,5,9,2,9,1
358,"Ferrothorn",7,9,13,5,12,2
359,"Cacnea",5,9,4,9,4,4
360,"Cacturne",7,12,6,12,6,6
361,"Exeggcute",6,4,8,6,5,4
362,"Exeggutor",10,10,9,13,7,6
363,"Snover",5,5,5,5,5,5
364,"Abomasnow",9,9,8,9,9,6
365,"Vulpix",4,4,4,5,7,7
366,"Ninetales",7,8,8,8,10,10
367,"Growlithe",6,7,5,7,5,6
368,"Arcanine",9,11,8,10,8,10
369,"Ponyta",5,9,6,7,7,9
370,"Rapidash",7,10,7,8,8,11
371,"Slugma",9,7,7,4,4,2
372,"Magcargo",5,5,12,8,8,3
373,"Numel",6,6,4,7,5,4
374,"Camerupt",7,10,7,11,8,4
375,"Darumaka",7,9,5,2,5,5
376,"Darmanitan",11,14,6,3,6,10
377,"Darmanitan - Zen",11,3,11,14,11,6
378,"Clamperl",4,6,9,7,6,3
379,"Huntail",6,10,11,9,8,5
380,"Gorebyss",6,8,11,11,8,5
381,"Slowpoke",10,8,8,10,11,3
382,"Slowbro",6,6,6,4,4,3
383,"Slowking",10,8,11,10,8,3
384,"Goldeen",5,7,6,4,5,6
385,"Seaking",8,9,7,7,8,7
386,"Barboach",5,5,4,5,4,6
387,"Whiscash",11,8,7,8,7,6
388,"Finneon",5,5,6,5,6,7
389,"Lumineon",7,7,8,7,9,9
390,"Chinchou",8,4,4,6,6,7
391,"Lanturn",13,6,6,8,8,7
392,"Carvanha",7,11,13,8,7,3
393,"Sharpedo",7,12,4,10,4,10
394,"Wingull",4,3,3,6,3,9
395,"Pelipper",6,5,10,9,7,7
396,"Ducklett",6,4,5,4,5,6
397,"Swanna",8,9,6,9,6,10
398,"Tentacool",4,4,4,5,10,7
399,"Tentacruel",8,7,7,8,12,10
400,"Frillish",6,4,5,7,9,4
401,"Jellicent",10,6,7,9,11,6
402,"Shellder",3,7,10,5,3,4
403,"Cloyster",5,10,18,9,5,7
404,"Krabby",3,11,9,3,3,5
405,"Kingler",6,13,12,5,5,8
406,"Corphish",4,8,7,5,4,4
407,"Crawdaunt",6,12,9,9,6,6
408,"Staryu",6,8,9,10,9,12
409,"Starmie",4,6,3,3,3,6
410,"Psyduck",5,5,5,7,5,6
411,"Golduck",8,8,8,10,8,9
412,"Wooper",6,5,5,3,3,2
413,"Quagsire",10,9,9,7,7,4
414,"Seel",7,5,6,5,7,5
415,"Dewgong",9,7,8,7,10,7
416,"Shellos",8,5,5,6,6,3
417,"Gastrodon",11,8,7,9,8,4
418,"Buizel",6,7,4,6,3,9
419,"Floatzel",9,11,6,9,5,12
420,"Remoraid",4,7,4,7,4,7
421,"Octillery",8,11,8,11,8,5
422,"Mantyke",5,2,5,6,12,5
423,"Mantine",7,4,7,8,14,7
424,"Magikarp",2,1,6,2,2,8
425,"Gyarados",10,13,8,6,10,8
426,"Feebas",2,2,2,1,6,8
427,"Milotic",10,6,8,10,13,8
428,"Wailmer",13,7,4,7,4,6
429,"Wailord",17,9,5,9,5,6
430,"Snorunt",16,11,7,7,11,3
431,"Glalie",8,8,8,8,8,8
432,"Froslass",7,8,7,8,7,11
433,"Cubchoo",6,7,4,6,4,4
434,"Beartic",10,11,8,7,8,5
435,"Voltorb",4,3,5,6,6,10
436,"Electrode",6,5,7,8,8,14
437,"Electrike",4,5,4,7,4,7
438,"Manectric",7,8,6,11,6,11
439,"Blitzle",5,6,3,5,3,8
440,"Zebstrika",8,10,6,8,6,12
441,"Natu",4,5,5,7,5,7
442,"Xatu",7,8,7,10,7,10
443,"Woobat",6,5,4,6,4,7
444,"Swoobat",7,6,6,8,6,11
445,"Spoink",5,9,11,9,11,4
446,"Grumpig",8,5,7,9,11,8
447,"Munna",8,3,5,7,6,2
448,"Musharna",12,6,9,11,10,3
449,"Elgyem",6,6,6,9,6,3
450,"Beheeyem",8,8,8,13,10,4
451,"Drowzee",6,5,5,4,9,4
452,"Hypno",9,7,7,7,12,7
453,"Smoochum",6,2,4,2,5,8
454,"Jynx",7,5,4,12,10,10
455,"Mime Jr.",2,3,5,7,9,6
456,"Mr. Mime",4,5,7,10,12,9
457,"Chingling",5,3,5,7,5,5
458,"Chimecho",7,5,7,10,8,7
459,"Wynaut",10,2,5,2,5,2
460,"Wobbufett",19,3,6,3,6,3
461,"Tyrogue",4,4,4,4,4,4
462,"Hitmonlee",5,12,5,4,11,9
463,"Hitmonchan",5,11,8,4,11,8
464,"Hitmontop",5,10,10,4,11,7
465,"Mankey",4,8,4,4,5,7
466,"Primeape",7,11,6,6,7,10
467,"Mienfoo",5,9,5,6,5,7
468,"Mienshao",7,13,6,10,6,11
469,"Makuhita",7,6,3,2,3,3
470,"Hariyama",14,12,6,4,6,5
471,"Meditite",3,4,6,4,6,6
472,"Medicham",6,6,8,6,8,8
473,"Riolu",4,7,4,4,4,6
474,"Lucario",7,11,7,12,7,9
475,"Murkrow",6,9,4,9,4,9
476,"Honchkrow",10,13,5,11,5,7
477,"Vullaby",7,6,8,5,7,6
478,"Mandibuzz",11,7,11,6,10,8
479,"Purrloin",4,5,4,5,4,7
480,"Liepard",6,9,5,9,5,11
481,"Houndour",5,6,3,8,5,7
482,"Houndoom",8,9,5,11,8,10
483,"Poochyena",4,6,4,3,3,4
484,"Mightyena",7,9,7,6,6,7
485,"Scraggy",5,8,7,4,7,5
486,"Scrafty",7,9,12,5,12,6
487,"Sneasel",5,3,2,9,7,7
488,"Weavile",7,12,7,5,9,13
489,"Pawniard",5,9,7,4,4,6
490,"Bisharp",7,13,10,6,7,7
491,"Zorua",4,7,4,8,4,7
492,"Zoroark",6,11,6,12,6,11
493,"Misdreavus",6,6,6,9,9,9
494,"Mismagius",6,6,6,11,11,11
495,"Shuppet",4,8,4,6,3,5
496,"Banette",6,12,7,8,6,7
497,"Drifloon",9,5,3,6,4,7
498,"Drifblim",15,8,4,9,5,8
499,"Yamask",4,3,9,6,7,3
500,"Cofagrigus",6,5,15,10,11,3
501,"Pansage",5,5,5,5,5,6
502,"Simisage",8,10,6,10,6,10
503,"Pansear",5,5,5,5,5,6
504,"Simisear",8,10,6,10,6,10
505,"Panpour",5,5,5,5,5,6
506,"Simipour",8,10,6,10,6,10
507,"Farfetch'd",5,7,6,6,6,6
508,"Chatot",8,7,5,9,4,9
509,"Dunsparce",10,7,7,7,7,5
510,"Miltank",10,8,11,4,7,10
511,"Tauros",8,10,10,4,7,11
512,"Bouffalant",10,11,10,4,10,6
513,"Stantler",4,5,7,5,6,4
514,"Audino",10,6,9,6,9,5
515,"Spinda",4,6,4,4,4,3
516,"Kecleon",6,9,7,6,12,4
517,"Castform",7,7,7,7,7,7
518,"Smeargle",4,4,4,7,4,2
519,"Kangaskhan",11,10,8,4,8,9
520,"Zangoose",7,12,6,6,6,9
521,"Seviper",7,10,6,10,6,7
522,"Shuckle",2,1,23,1,23,1
523,"Durant",6,11,11,5,5,11
524,"Pinsir",7,13,10,6,7,9
525,"Heracross",8,13,8,4,10,9
526,"Carvnivine",5,9,2,7,2,7
527,"Maractus",6,4,4,7,5,4
528,"Tropius",10,7,8,7,9,5
529,"Torkoal",7,9,14,9,7,2
530,"Heatmor",9,10,7,11,7,7
531,"Qwilfish",7,10,8,6,6,9
532,"Basculin",7,9,7,8,6,10
533,"Relicanth",10,9,13,5,7,6
534,"Corsola",6,6,9,7,9,4
535,"Luvdisc",4,3,6,4,7,6
536,"Alomomola",17,8,8,4,5,7
537,"Lapras",13,9,8,9,10,6
538,"Delibird",5,6,5,7,5,8
539,"Cryogonal",7,5,3,10,14,11
540,"Pachirisu",6,5,7,5,9,10
541,"Emolga",6,8,6,8,6,10
542,"Stunfisk",9,10,9,5,9,8
543,"Rotom - Alternate",5,7,11,11,11,9
544,"Rotom - Normal",5,5,8,10,8,9
545,"Girafarig",7,8,7,9,7,9
546,"Sigilyph",7,6,8,10,8,10
547,"Mawile",5,9,9,6,6,5
548,"Skarmory",7,8,14,4,7,7
549,"Absol",7,13,6,8,6,8
550,"Sableye",5,8,8,7,7,5
551,"Spiritomb",6,6,6,6,6,6
552,"Druddigon",8,12,9,6,9,5
553,"Plusle",6,5,4,9,8,10
554,"Minun",6,4,5,8,9,10
555,"Volbeat",7,7,6,5,8,9
556,"Illumise",7,5,6,7,8,9
557,"Lunatone",7,6,7,10,9,7
558,"Solroack",5,3,4,11,5,2
559,"Throh",12,10,9,3,9,5
560,"Sawk",8,13,8,3,8,9
561,"Ditto",5,5,5,5,5,5
562,"Unown",5,7,5,7,5,5
563,"Eevee",6,6,5,5,7,6
564,"Vaporeon",13,7,6,11,10,7
565,"Jolteon",7,7,6,11,10,13
566,"Flareon",7,13,6,10,11,7
567,"Espeon",7,7,6,13,10,11
568,"Umbreon",10,7,11,6,13,7
569,"Leafeon",7,11,13,6,7,10
570,"Glaceon",7,6,11,13,10,7
571,"Omanyte",4,4,10,9,6,4
572,"Omastar",7,6,13,12,7,6
573,"Kabuto",3,8,9,6,5,6
574,"Kabutops",6,12,11,7,7,8
575,"Lileep",7,4,8,6,9,2
576,"Cradily",9,8,10,8,11,4
577,"Anorith",5,10,5,4,5,8
578,"Armaldo",8,13,10,7,8,5
579,"Cranidos",7,13,4,3,3,6
580,"Rampardos",10,17,6,7,5,6
581,"Shieldon",3,4,12,4,9,3
582,"Bastiodon",6,5,17,5,14,3
583,"Tirtouga",6,8,10,5,5,2
584,"Carracosta",7,10,7,9,7,5
585,"Archen",6,11,5,7,5,7
586,"Archeops",8,14,7,11,7,11
587,"Aerodactyl",8,11,7,6,8,13
588,"Dratini",4,6,5,5,5,5
589,"Dragonair",6,8,7,7,7,7
590,"Dragonite",9,13,10,10,10,8
591,"Larvitar",5,6,5,5,5,4
592,"Pupitar",7,8,7,7,7,5
593,"Tyranitar",10,13,11,10,10,6
594,"Bagon",5,8,6,4,3,5
595,"Shelgon",7,10,10,6,5,5
596,"Salamence",10,14,8,11,8,10
597,"Beldum",4,6,8,4,6,3
598,"Metang",6,8,10,6,8,5
599,"Metagross",8,14,13,10,9,7
600,"Gible",6,7,5,4,5,4
601,"Gabite",7,9,7,5,6,8
602,"Garchomp",11,13,10,8,9,10
603,"Deino",5,7,5,5,5,4
604,"Zweilous",7,9,7,7,7,6
605,"Hydreigon",9,11,9,13,9,10
606,"Mew",10,10,10,10,10,10
607,"Mewtwo",11,11,9,15,9,13
608,"Genesect",7,12,10,12,10,10
609,"Heatran",9,9,11,13,11,8
610,"Articuno",9,9,10,10,13,9
611,"Zapdos",9,9,9,13,9,10
612,"Moltres",9,10,9,13,9,9
613,"Raikou",9,9,8,12,10,12
614,"Entei",12,12,9,9,8,10
615,"Suicune",10,8,12,9,12,9
616,"Regirock",8,10,20,5,10,5
617,"Regice",8,5,10,10,20,5
618,"Registeel",8,8,15,8,15,5
619,"Regigigas",11,16,11,8,11,10
620,"Cobalion",9,9,13,9,7,11
621,"Terrakion",9,13,9,7,9,11
622,"Virizion",9,9,7,9,13,11
623,"Keldeo",9,7,9,13,9,11
624,"Uxie",8,8,13,8,13,10
625,"Mesprit",8,11,11,11,11,8
626,"Azelf",8,13,7,13,7,12
627,"Tornadus",8,12,7,13,8,11
628,"Thundurus",8,12,7,13,8,11
629,"Landorus",9,13,9,12,8,10
630,"Lugia",11,9,13,9,15,9
631,"Ho-oh",11,13,9,11,15,9
632,"Latias",8,8,9,11,13,11
633,"Latios",8,9,8,13,11,11
634,"Phione",8,8,8,8,8,8
635,"Manaphy",10,10,10,10,10,10
636,"Celebi",10,10,10,10,10,10
637,"Jirachi",10,10,10,10,10,10
638,"Victini",10,10,10,10,10,10
639,"Shaymin - Land",10,10,10,10,10,10
640,"Shaymin - Sky",10,10,8,12,8,13
641,"Meloetta",10,13,9,8,8,13
642,"Deoxys - Normal",5,15,5,15,5,15
643,"Deoxys - Attack",5,18,2,18,2,15
644,"Deoxys - Defense",5,7,16,7,16,9
645,"Deoxys - Speed",5,10,9,10,9,18
646,"Darkrai",7,9,9,14,9,13
647,"Cresselia",12,7,12,8,13,9
648,"Kyogre",10,10,9,15,14,9
649,"Groudon",10,15,14,10,9,9
650,"Rayquaza",11,15,9,15,9,10
651,"Reshiram",10,12,10,15,12,9
652,"Zekrom",10,15,12,12,10,9
653,"Kyurem",13,13,9,13,9,10
654,"Dialga",10,12,12,15,10,9
655,"Palkia",9,12,10,15,12,10
656,"Giratina - Origin",15,12,10,12,10,9
657,"Giratina - Altered",15,10,12,10,12,9
658,"Arceus",12,12,12,12,12,12
